Element                         Ilosc
                          2
«                         508
»                         507
à                         396
è                         359
é                         241
ì                         334
ò                         782
ù                         186

                         752
                          33756
!                         160
'                         581
,                         2051
-                         105
.                         1708
0                         138
1                         690
2                         553
3                         334
4                         222
5                         180
6                         161
7                         148
8                         145
9                         140
:                         796
;                         246
?                         140
A                         647
B                         116
C                         324
D                         380
E                         573
F                         52
G                         563
H                         40
I                         478
J                         5
K                         22
L                         291
M                         216
N                         194
O                         90
P                         283
Q                         165
R                         212
S                         499
T                         89
U                         30
V                         55
Z                         46
[                         1534
]                         1534
a                         15811
b                         1717
c                         5983
d                         5554
e                         17741
f                         1734
g                         3103
h                         1727
i                         16229
k                         17
l                         9161
m                         3643
n                         8897
o                         14097
p                         3835
q                         779
r                         9451
s                         7750
t                         8112
u                         4527
v                         2562
z                         665
