Element                         Ilosc
å                         3
è                         1
ú                         1044
ü                         139
£                         9
Ø                         5
≥                         4496
π                         1586
ø                         1778
”                         2
Ê                         774
Í                         2517
Ò                         197
Û                         1842

                         28
                          31720
!                         136
"                         8
,                         3107
-                         141
.                         2068
:                         633
;                         70
?                         138
A                         582
B                         375
C                         214
D                         136
E                         274
F                         10
G                         107
H                         47
I                         346
J                         719
K                         212
L                         184
M                         174
N                         313
O                         145
P                         471
R                         147
S                         366
T                         199
U                         43
W                         316
Z                         175
a                         14718
b                         3068
c                         5511
d                         6078
e                         12618
f                         367
g                         2401
h                         1699
i                         14058
j                         3136
k                         3799
l                         2641
m                         5233
n                         6647
o                         12016
p                         3716
r                         5773
s                         6560
t                         5575
u                         2946
w                         6630
y                         5824
z                         9861
