Element                         Ilosc
å                         63
è                         21
ú                         21924
ü                         2919
£                         189
Ø                         105
≥                         94416
π                         33306
ø                         37338
”                         42
Ê                         16254
Í                         52857
Ò                         4137
Û                         38682
                          666646
!                         2856
"                         168
,                         65247
-                         2961
.                         43428
:                         13293
;                         1470
?                         2898
A                         12222
B                         7875
C                         4494
D                         2856
E                         5754
F                         210
G                         2247
H                         987
I                         7266
J                         15099
K                         4452
L                         3864
M                         3654
N                         6573
O                         3045
P                         9891
R                         3087
S                         7686
T                         4179
U                         903
W                         6636
Z                         3675
a                         309078
b                         64428
c                         115731
d                         127638
e                         264978
f                         7707
g                         50421
h                         35679
i                         295218
j                         65856
k                         79779
l                         55461
m                         109893
n                         139587
o                         252336
p                         78036
r                         121233
s                         137760
t                         117075
u                         61866
w                         139230
y                         122304
z                         207081
