DT 1, DT 1	DT 2, DT 2	DT 3, DT 3	DT 4, DT 4	
0.193304,0.80874	0.577868,0.628681	0.189276,0.620319	0.0391247,0.164861	
0.585009,0.479873	0.160192,0.963042	0.885372,0.779656	0.21128,0.618275	
0.350291,0.895962	0.695761,0.189947	0.645558,0.455458	0.580096,0.669729	
0.82284,0.746605	0.335948,0.995178	0.921293,0.636341	0.298502,0.772515	
0.174108,0.858943	0.457442,0.0975066	0.569536,0.540574	0.204413,0.580981	
0.710501,0.513535	0.625172,0.437727	0.57857,0.396954	0.195624,0.303995	
0.303995,0.0149846	0.931516,0.89462	0.350261,0.196509	0.120823,0.76104	
0.0914029,0.364452	0.290017,0.769066	0.0702841,0.070925	0.881039,0.801538	
0.147313,0.165899	0.410718,0.628071	0.197668,0.454329	0.461348,0.559404	
0.988525,0.445692	0.604144,0.466353	0.604297,0.684469	0.0927458,0.0596332	
0.119083,0.00466933	0.597827,0.854793	0.396527,0.199591	0.49089,0.255745	
0.0089114,0.37788	0.828791,0.720908	0.949461,0.987457	0.909909,0.0512406	
0.531663,0.571184	0.565752,0.184271	0.185308,0.442061	0.522172,0.731742	
0.601764,0.607166	0.737907,0.905087	0.627338,0.285562	0.553362,0.305429	
0.166234,0.663045	0.242866,0.604724	0.260201,0.710196	0.39494,0.000854518	
0.450789,0.352123	0.698508,0.351299	0.728446,0.397412	0.768578,0.0575274	
0.0570391,0.607685	0.494461,0.740745	0.903867,0.570574	0.670614,0.798151	
0.783319,0.802606	0.612049,0.691122	0.353557,0.736381	0.436262,0.476974	
0.519883,0.30195	0.804529,0.576037	0.739433,0.272591	0.874355,0.14301	
0.875973,0.726676	0.867733,0.614704	0.680441,0.517655	0.917997,0.0466323	
0.955901,0.925718	0.727683,0.667776	0.109378,0.51796	0.814203,0.269356	
0.539354,0.142338	0.976531,0.569201	0.654836,0.0904263	0.208014,0.887692	
0.462081,0.235328	0.305826,0.108554	0.0795618,0.355083	0.844783,0.183752	
0.862239,0.209601	0.869045,0.744316	0.30723,0.394848	0.355907,0.623035	
0.779656,0.843654	0.154881,0.0793481	0.0678426,0.198706	0.546342,0.999329	
0.996796,0.999695	0.0766015,0.820002	0.694021,0.543992	0.969329,0.374401	
0.611499,0.392438	0.545091,0.408979	0.0983001,0.974578	0.284371,0.716605	
0.266213,0.297281	0.298746,0.501206	0.464034,0.530961	0.0308847,0.818171	
0.840144,0.0237434	0.152654,0.737999	0.679922,0.388623	0.124638,0.915433	
0.375866,0.0926237	0.313883,0.959075	0.0499588,0.0608234	0.889676,0.00756859	
0.677206,0.0562151	0.873348,0.300058	0.310556,0.321909	0.228614,0.501694	
0.00878933,0.91879	0.943999,0.0657369	0.484664,0.507859	0.242866,0.0321055	
0.275887,0.272896	0.784967,0.609638	0.605945,0.349803	0.771172,0.852016	
0.587909,0.691183	0.956114,0.875637	0.842647,0.997284	0.331614,0.64687	
0.837611,0.726493	0.653859,0.104801	0.0534684,0.386761	0.227729,0.0349742	
0.484939,0.205359	0.505051,0.290292	0.306406,0.612568	0.561296,0.899014	
0.743736,0.468459	0.91998,0.662801	0.391186,0.455702	0.201483,0.893948	
0.457961,0.949156	0.114536,0.379131	0.857936,0.727287	0.44557,0.624043	
0.744438,0.10828	0.496811,0.509262	0.611591,0.582598	0.423658,0.267403	
0.599048,0.385235	0.382366,0.532151	0.595019,0.462203	0.291971,0.607227	
0.735008,0.608966	0.606281,0.00589007	0.590625,0.816065	0.788232,0.135777	
0.572405,0.361339	0.707877,0.623066	0.67275,0.267312	0.516526,0.333872	
0.151555,0.225105	0.863247,0.747337	0.341563,0.371746	0.902127,0.63097	
0.425153,0.802881	0.496902,0.785363	0.869869,0.628925	0.0241707,0.706381	
0.517106,0.98999	0.552812,0.955718	0.893948,0.902005	0.265938,0.263619	
0.751549,0.345561	0.630848,0.374248	0.780084,0.901547	0.844234,0.0144963	
0.168981,0.657308	0.131626,0.95172	0.797418,0.890347	0.476547,0.0276193	
0.491897,0.0635395	0.611988,0.329844	0.628712,0.264992	0.288827,0.931547	
0.699759,0.504807	0.0559099,0.131626	0.250649,0.170934	0.382977,0.8652	
0.147496,0.949583	0.847072,0.596881	0.713889,0.806543	0.437422,0.49855	
0.141575,0.905118	0.721641,0.0146794	0.855342,0.573321	0.559618,0.937346	
0.692892,0.303049	0.126469,0.617145	0.472976,0.727775	0.859523,0.0764489	
0.426557,0.0703757	0.217566,0.16892	0.995025,0.691641	0.407025,0.874783	
0.966613,0.683187	0.624104,0.319407	0.174139,0.676626	0.30427,0.216224	
0.153233,0.877255	0.367565,0.802393	0.838923,0.779504	0.279305,0.301401	
0.82168,0.582049	0.806879,0.611103	0.232521,0.204596	0.727134,0.446791	
0.191351,0.177892	0.798181,0.14481	0.971038,0.769219	0.890347,0.0592364	
0.817194,0.475265	0.630177,0.2537	0.15183,0.348582	0.61919,0.231483	
0.155553,0.503922	0.13654,0.0661641	0.64388,0.416517	0.494888,0.337657	
0.732017,0.405591	0.427808,0.302286	0.0906705,0.337992	0.279733,0.924711	
0.27958,0.568743	0.548051,0.31135	0.657521,0.570025	0.601062,0.951323	
0.682241,0.755852	0.11063,0.134709	0.0539872,0.426801	0.548357,0.592853	
0.721915,0.475295	0.284249,0.89523	0.863338,0.565813	0.870083,0.943327	
0.12302,0.367809	0.789636,0.615223	0.709403,0.850551	0.718772,0.175909	
0.834681,0.0350963	0.361126,0.228492	0.293008,0.746849	0.0266732,0.136113	
0.517014,0.662984	0.863582,0.24955	0.828639,0.908322	0.0144658,0.779656	
0.426221,0.104678	0.542405,0.0538041	0.912534,0.107639	0.658498,0.842128	
0.949339,0.921384	0.0814234,0.426801	0.354015,0.169836	0.242622,0.0308847	
0.549547,0.345988	0.0946684,0.891537	0.000854518,0.0637226	0.356212,0.297922	
0.471725,0.374981	0.232765,0.125095	0.089816,0.807611	0.182104,0.52562	
0.84698,0.316874	0.931639,0.0470901	0.154088,0.346141	0.358867,0.131809	
0.456099,0.271889	0.0587176,0.914701	0.0185553,0.0536515	0.0292367,0.570696	
0.982971,0.2978	0.398602,0.946165	0.914151,0.0210578	0.346904,0.932524	
0.739189,0.567278	0.837184,0.842097	0.242592,0.781884	0.94528,0.800256	
0.19599,0.761315	0.693533,0.259163	0.0228278,0.634266	0.895138,0.388287	
0.839442,0.397656	0.00433363,0.954802	0.550401,0.214789	0.548784,0.949461	
0.5009,0.890164	0.398694,0.585559	0.300699,0.480605	0.982147,0.131962	
0.0274667,0.994629	0.255135,0.94528	0.60802,0.755821	0.197943,0.229926	
0.572588,0.0505081	0.435499,0.00717185	0.150884,0.998749	0.478439,0.982574	
0.531327,0.194067	0.940977,0.786157	0.775506,0.946104	0.237526,0.484359	
0.843043,0.626759	0.576678,0.222327	0.688162,0.290384	0.326456,0.348155	
0.657613,0.197851	0.383007,0.41792	0.548235,0.546678	0.169225,0.739677	
0.842158,0.123325	0.0822474,0.855098	0.49263,0.76516	0.807001,0.766869	
0.109928,0.743126	0.0648518,0.662069	0.623371,0.745537	0.0644246,0.0443739	
0.314066,0.941069	0.691488,0.530137	0.988922,0.909818	0.484298,0.540574	
0.286081,0.336314	0.685629,0.689505	0.591296,0.489395	0.604053,0.696738	
0.140263,0.733085	0.727897,0.0310678	0.449721,0.182928	0.759941,0.786462	
0.83462,0.707999	0.868679,0.706565	0.251961,0.94113	0.021424,0.269265	
0.600238,0.747215	0.0854518,0.947905	0.62508,0.0345164	0.0682699,0.615528	
0.252724,0.144475	0.0587787,0.145177	0.556352,0.0613727	0.0710166,0.337474	
0.00161748,0.0610065	0.98178,0.292245	0.996033,0.0503555	0.24189,0.17246	
0.806238,0.852626	0.922483,0.69454	0.172796,0.315958	0.0689108,0.649617	
0.210578,0.115604	0.218635,0.240547	0.653584,0.221625	0.0836818,0.562578	
0.553209,0.0142521	0.521439,0.106418	0.678518,0.507645	0.178259,0.758843	
0.113773,0.454512	0.902646,0.0801111	0.802728,0.339488	0.333811,0.873257	
0.75222,0.686148	0.782098,0.974395	0.375896,0.733299	0.567583,0.999664	
0.543443,0.0738853	0.775872,0.210639	0.89114,0.514481	0.634999,0.19425	
0.43672,0.201941	0.456618,0.750633	0.73397,0.465835	0.978881,0.255135	
0.696219,0.290353	0.114048,0.311136	0.363262,0.821223	0.406812,0.379437	
0.436689,0.232429	0.992615,0.252083	0.454787,0.761376	0.727561,0.353984	
